id,Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature_C,Humidity,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Water_Source,Field_Area_hectare,Mulching_Used,Previous_Irrigation_mm,Region,Irrigation_Need
316694,Sandy,6.84,11.34,1.12,1.75,24.02,72.82,1667.66,8.99,1.33,Rice,Harvest,Zaid,Rainfed,Reservoir,7.25,Yes,109.88,North,Low
250664,Silt,6.34,8.98,0.3,0.2,31.57,87.36,1570.91,6.43,5.65,Maize,Flowering,Kharif,Drip,Reservoir,12.94,No,53.63,South,Medium
123732,Sandy,6.88,34.08,1.56,2.14,19.15,58.6,1344.43,9.29,12.07,Rice,Flowering,Kharif,Rainfed,Reservoir,2.27,No,59.81,East,Medium
65925,Sandy,7.04,53.76,0.99,2.0,29.17,61.53,2105.14,5.45,10.38,Cotton,Sowing,Kharif,Drip,Rainwater,1.65,Yes,111.67,Central,Low
257730,Loamy,5.92,63.13,1.09,0.89,22.65,31.98,752.67,4.35,9.46,Potato,Sowing,Zaid,Rainfed,Groundwater,2.9,No,20.46,South,Low
288560,Loamy,7.77,61.14,0.44,1.72,22.68,35.86,1391.79,9.52,19.09,Cotton,Flowering,Zaid,Drip,River,8.21,Yes,100.51,West,Low
530916,Sandy,5.79,48.95,1.04,0.87,12.74,71.62,2266.11,6.24,1.29,Wheat,Sowing,Kharif,Canal,Groundwater,11.16,Yes,106.71,West,Low
159309,Sandy,7.96,59.66,0.33,2.29,14.35,73.84,1214.25,8.24,11.64,Potato,Sowing,Zaid,Canal,Groundwater,4.78,No,9.36,Central,Low
278824,Sandy,5.48,27.2,1.05,0.83,12.39,31.32,2056.83,4.27,6.99,Potato,Flowering,Rabi,Rainfed,Reservoir,9.77,Yes,69.84,North,Low
614062,Silt,7.4,26.52,0.48,2.71,30.84,26.02,1533.72,7.81,2.84,Cotton,Harvest,Rabi,Rainfed,River,1.24,Yes,92.09,West,Low
573887,Clay,5.05,13.64,0.61,2.69,14.12,79.74,1648.8,7.3,9.59,Maize,Vegetative,Rabi,Rainfed,River,14.66,Yes,111.62,East,Medium
339453,Sandy,7.37,9.23,1.19,2.98,41.6,83.94,2420.2,5.94,13.44,Maize,Vegetative,Kharif,Sprinkler,Groundwater,10.08,No,43.04,East,High
126977,Clay,7.25,15.13,1.49,0.69,14.47,68.42,2138.59,7.07,0.88,Cotton,Sowing,Rabi,Sprinkler,Reservoir,11.21,Yes,113.0,North,Low
344784,Clay,5.14,64.78,0.59,0.35,34.84,45.98,1834.8,5.04,4.32,Sugarcane,Vegetative,Kharif,Rainfed,Rainwater,8.58,Yes,80.65,Central,Low
137014,Sandy,6.56,20.56,0.58,1.86,38.34,52.57,1848.91,8.14,12.2,Sugarcane,Flowering,Rabi,Rainfed,Reservoir,2.47,Yes,7.26,South,Medium
179399,Silt,5.38,64.39,1.19,2.19,22.57,44.75,1351.64,6.32,10.77,Cotton,Harvest,Zaid,Rainfed,Rainwater,5.35,Yes,89.05,Central,Low
43628,Loamy,8.06,57.56,1.04,0.43,17.08,62.24,1932.48,5.12,1.76,Rice,Vegetative,Kharif,Sprinkler,Rainwater,10.96,No,99.76,West,Low
625044,Clay,7.91,18.79,0.94,3.31,20.44,83.52,829.1,9.46,15.97,Maize,Flowering,Zaid,Sprinkler,Groundwater,8.2,Yes,108.91,North,Medium
262173,Sandy,5.38,41.69,0.43,1.79,22.87,75.62,2483.93,4.27,2.46,Sugarcane,Sowing,Zaid,Rainfed,Groundwater,10.48,Yes,73.39,North,Low
280001,Clay,5.02,28.81,1.52,3.13,34.67,40.47,1392.6,4.98,17.58,Sugarcane,Sowing,Kharif,Drip,Groundwater,4.95,Yes,53.85,Central,Low
573463,Sandy,6.19,14.71,0.57,1.78,26.4,59.81,1179.49,4.37,5.81,Sugarcane,Flowering,Zaid,Rainfed,Groundwater,5.49,No,117.63,West,Medium
334173,Sandy,7.62,23.75,0.93,0.4,40.35,43.75,2359.94,6.34,15.05,Cotton,Vegetative,Zaid,Rainfed,Rainwater,3.4,No,38.64,South,High
330958,Clay,5.78,41.96,1.24,1.81,15.71,88.67,847.1,6.92,11.96,Sugarcane,Flowering,Zaid,Drip,Rainwater,8.74,No,72.16,West,Medium
392234,Silt,5.42,48.95,0.63,0.98,17.45,67.29,1836.09,6.97,15.86,Sugarcane,Vegetative,Rabi,Sprinkler,Groundwater,0.4,Yes,84.95,Central,Low
51570,Sandy,7.75,41.43,1.55,1.8,17.8,47.96,1297.3,10.79,15.9,Cotton,Flowering,Zaid,Sprinkler,Groundwater,9.56,Yes,48.13,East,Low
591382,Sandy,6.27,17.42,0.66,2.0,19.75,58.18,913.48,5.54,11.96,Wheat,Vegetative,Kharif,Canal,Reservoir,4.16,Yes,30.23,East,Medium
282084,Loamy,7.73,19.03,0.46,1.4,36.41,51.54,1385.83,9.12,11.83,Maize,Sowing,Kharif,Canal,River,14.59,No,26.81,East,Medium
444115,Silt,6.29,20.4,0.38,0.59,19.75,59.78,1852.6,10.59,1.94,Wheat,Vegetative,Zaid,Drip,Groundwater,5.81,Yes,59.07,North,Medium
600101,Loamy,7.73,38.73,1.46,2.64,41.66,28.21,1844.21,7.15,4.76,Cotton,Harvest,Zaid,Drip,Reservoir,5.66,Yes,19.44,North,Low
334192,Clay,6.59,58.38,0.67,0.59,12.4,29.7,1663.21,6.63,6.88,Maize,Vegetative,Kharif,Drip,Groundwater,7.83,No,57.2,South,Low
409056,Loamy,6.93,53.88,1.59,1.5,38.47,73.54,839.61,9.78,5.48,Rice,Harvest,Kharif,Canal,Rainwater,9.83,Yes,51.63,East,Low
52153,Clay,6.05,54.35,1.04,2.58,30.98,48.34,977.19,9.24,5.07,Potato,Flowering,Kharif,Sprinkler,Groundwater,8.03,Yes,15.33,East,Low
97953,Silt,5.79,56.37,1.04,1.66,36.31,45.59,1181.37,7.65,11.03,Wheat,Flowering,Rabi,Rainfed,Rainwater,12.57,Yes,105.46,North,Medium
351769,Sandy,6.4,16.97,1.25,0.6,17.05,30.4,2175.99,8.88,17.33,Rice,Flowering,Kharif,Sprinkler,Groundwater,2.35,Yes,74.14,Central,Medium
311866,Loamy,7.83,64.41,1.3,1.84,21.59,31.32,1022.93,8.65,9.82,Cotton,Sowing,Kharif,Rainfed,Groundwater,2.38,No,86.56,South,Low
120753,Silt,5.52,21.7,0.73,1.41,34.77,83.28,732.4,8.4,2.15,Potato,Flowering,Zaid,Sprinkler,River,1.3,No,81.92,South,High
357470,Sandy,5.11,50.48,0.33,1.0,30.68,29.99,814.8,9.44,11.64,Potato,Harvest,Zaid,Drip,Reservoir,14.45,Yes,33.85,North,Low
134123,Clay,5.21,54.97,0.55,2.29,15.64,67.6,1756.66,8.86,17.09,Sugarcane,Flowering,Zaid,Drip,Reservoir,11.29,No,42.43,North,Medium
185892,Clay,5.0,63.33,0.4,1.0,35.11,94.71,2146.1,5.93,14.2,Maize,Flowering,Zaid,Canal,River,3.0,Yes,69.0,North,Medium
192121,Sandy,6.53,29.32,0.44,1.09,34.59,69.28,2286.57,7.63,5.16,Maize,Sowing,Kharif,Rainfed,Reservoir,5.88,No,34.65,North,Low
489057,Loamy,7.83,46.75,1.53,2.46,31.83,81.17,2075.71,9.03,1.81,Cotton,Flowering,Kharif,Sprinkler,Reservoir,13.77,Yes,10.23,East,Low
2474,Loamy,7.99,38.63,1.39,0.12,18.15,68.22,2201.81,6.09,4.86,Sugarcane,Sowing,Zaid,Sprinkler,Reservoir,0.5,No,9.05,West,Low
503342,Silt,6.33,15.95,0.34,1.54,32.66,92.58,1414.8,5.52,7.13,Cotton,Sowing,Kharif,Drip,Reservoir,5.57,Yes,16.74,East,Low
310808,Silt,5.38,12.19,1.3,1.88,20.34,25.71,156.56,10.11,3.17,Cotton,Vegetative,Kharif,Rainfed,Groundwater,1.16,Yes,105.73,North,Medium
167740,Loamy,7.24,23.1,1.37,0.93,26.89,71.89,1614.85,5.83,15.5,Rice,Flowering,Kharif,Rainfed,Reservoir,11.36,Yes,34.3,East,Medium
373090,Clay,7.49,37.34,1.35,2.74,23.7,53.93,1312.78,5.12,19.77,Sugarcane,Vegetative,Zaid,Drip,River,9.78,No,45.78,East,Medium
213511,Silt,5.49,9.25,0.61,3.14,25.31,65.2,2178.24,9.34,17.95,Potato,Sowing,Rabi,Drip,Reservoir,2.81,No,45.13,Central,Medium
254851,Silt,7.34,23.26,0.77,2.0,33.66,63.95,2060.5,6.34,2.25,Cotton,Vegetative,Rabi,Canal,Reservoir,13.15,Yes,90.59,South,Medium
109555,Sandy,7.78,54.34,1.37,2.11,22.12,82.21,918.37,7.7,4.34,Maize,Vegetative,Kharif,Sprinkler,Rainwater,1.49,No,76.73,West,Low
371096,Loamy,6.05,61.12,1.01,2.28,24.57,35.44,1533.38,4.53,4.89,Rice,Sowing,Kharif,Canal,Groundwater,7.26,Yes,67.8,East,Low
489588,Loamy,5.23,30.11,1.34,3.21,19.89,82.21,2493.23,6.21,13.41,Wheat,Sowing,Kharif,Canal,Reservoir,5.64,No,7.36,North,Low
623460,Sandy,5.85,10.56,1.16,1.65,31.44,71.57,2466.29,5.86,18.01,Sugarcane,Vegetative,Rabi,Rainfed,River,0.57,No,70.98,Central,High
179210,Silt,6.39,14.08,1.29,1.49,31.53,56.62,2472.08,9.48,18.47,Potato,Vegetative,Zaid,Rainfed,Groundwater,6.74,Yes,89.22,North,Medium
370027,Silt,5.94,60.16,0.76,0.85,27.09,71.89,2330.73,9.32,14.16,Maize,Vegetative,Kharif,Drip,Rainwater,1.3,No,75.61,Central,Medium
627039,Loamy,7.42,42.74,0.4,2.82,32.05,38.47,2462.63,5.09,4.79,Potato,Sowing,Kharif,Sprinkler,Rainwater,14.63,No,100.86,East,Low
334644,Loamy,6.32,39.96,0.52,3.11,27.72,63.94,1393.64,9.8,2.43,Sugarcane,Sowing,Kharif,Drip,Rainwater,1.73,No,86.65,East,Low
425545,Loamy,5.24,45.13,0.47,0.22,21.81,58.81,792.21,4.52,12.48,Sugarcane,Flowering,Kharif,Sprinkler,River,6.44,Yes,118.48,Central,Low
171636,Sandy,5.81,22.36,1.48,2.17,27.24,45.16,943.12,5.56,13.91,Rice,Harvest,Zaid,Canal,Groundwater,9.77,No,95.48,West,Medium
417800,Sandy,5.21,38.19,1.24,0.5,40.27,40.55,1442.65,6.86,12.98,Cotton,Vegetative,Zaid,Canal,Groundwater,4.29,No,66.45,West,Medium
450191,Loamy,6.69,31.79,1.48,3.23,22.39,30.92,704.78,10.06,16.16,Maize,Harvest,Zaid,Canal,Reservoir,13.57,Yes,11.51,Central,Low
236408,Clay,7.33,44.0,0.67,0.12,12.62,35.99,2144.5,10.31,4.96,Rice,Sowing,Kharif,Rainfed,Reservoir,12.07,No,33.6,West,Low
141903,Clay,7.82,49.83,0.4,2.63,41.69,56.37,1488.39,10.48,18.9,Maize,Flowering,Kharif,Rainfed,Groundwater,6.49,No,34.05,South,Medium
143891,Silt,7.51,20.35,1.1,2.41,16.32,48.94,1035.46,9.86,11.13,Sugarcane,Sowing,Kharif,Sprinkler,Reservoir,9.36,No,82.22,West,Medium
498601,Clay,6.27,37.46,1.06,1.49,36.66,62.4,1275.58,7.52,19.06,Sugarcane,Flowering,Zaid,Rainfed,River,10.33,Yes,82.62,North,Medium
245979,Loamy,7.59,58.69,0.76,1.06,36.67,90.89,2307.83,7.08,2.08,Maize,Flowering,Rabi,Drip,River,7.2,No,52.3,West,Medium
535431,Loamy,7.16,63.39,0.38,1.53,31.32,81.75,2462.36,4.31,4.24,Sugarcane,Vegetative,Kharif,Canal,Reservoir,10.45,Yes,2.65,South,Low
570844,Clay,6.54,8.55,1.05,0.75,17.76,60.57,868.58,7.95,7.95,Wheat,Harvest,Kharif,Canal,Groundwater,7.21,No,47.8,East,Low
378812,Sandy,4.82,49.34,0.43,0.82,13.55,81.08,687.78,9.35,2.46,Maize,Sowing,Zaid,Drip,Reservoir,10.68,Yes,35.54,West,Low
266493,Clay,7.56,27.3,0.62,0.91,27.45,89.05,755.35,5.8,3.91,Wheat,Vegetative,Rabi,Sprinkler,River,13.51,Yes,82.59,South,Low
187763,Silt,7.72,57.37,0.54,0.4,15.77,41.4,14.1,5.71,11.33,Sugarcane,Vegetative,Rabi,Rainfed,Groundwater,6.07,No,109.94,West,Medium
34755,Clay,8.04,44.58,0.97,1.29,16.45,56.27,1226.29,8.32,12.59,Rice,Harvest,Kharif,Rainfed,River,4.23,No,18.33,Central,Low
47849,Sandy,5.82,56.83,0.95,1.21,40.93,54.23,2175.8,7.51,17.15,Cotton,Flowering,Kharif,Canal,River,14.03,No,64.06,North,Medium
435830,Clay,4.95,56.14,1.48,2.9,27.23,27.14,1226.54,4.38,11.35,Maize,Sowing,Zaid,Drip,Rainwater,5.62,Yes,56.95,Central,Low
335900,Loamy,5.73,51.12,1.08,1.98,18.13,70.79,1038.46,6.43,14.78,Sugarcane,Flowering,Kharif,Canal,Rainwater,14.09,No,23.99,West,Medium
310837,Loamy,6.24,34.51,0.68,2.93,24.77,51.62,1455.7,8.39,4.93,Rice,Flowering,Rabi,Canal,River,2.86,No,34.37,South,Low
331743,Sandy,5.16,34.64,0.33,1.33,40.65,36.81,916.16,9.24,5.86,Potato,Harvest,Rabi,Sprinkler,Rainwater,7.57,Yes,113.58,Central,Low
488334,Silt,6.06,34.97,1.06,3.09,39.62,30.39,2138.38,8.11,4.38,Maize,Flowering,Zaid,Sprinkler,Reservoir,4.93,No,33.29,South,Medium
266963,Loamy,5.1,46.22,1.2,3.49,24.48,25.93,565.52,4.66,8.33,Potato,Vegetative,Rabi,Drip,River,4.2,No,65.76,West,Low
467266,Clay,7.8,60.82,1.36,0.31,13.79,53.28,2330.01,4.22,2.86,Potato,Harvest,Rabi,Sprinkler,Rainwater,7.91,Yes,7.55,Central,Low
112479,Silt,5.72,48.89,0.77,2.24,34.76,80.72,1547.14,9.32,3.64,Sugarcane,Harvest,Zaid,Canal,Rainwater,6.82,Yes,106.21,South,Low
132703,Clay,5.91,57.54,1.21,2.77,23.54,75.24,1498.8,5.89,14.53,Potato,Vegetative,Zaid,Rainfed,Groundwater,2.11,Yes,11.04,East,Low
436239,Sandy,6.45,18.52,0.96,2.78,30.5,86.12,1165.71,8.3,16.32,Maize,Vegetative,Zaid,Rainfed,River,8.25,No,82.16,Central,High
238613,Clay,7.32,18.63,0.85,1.79,14.93,52.1,1676.7,10.78,10.16,Rice,Harvest,Kharif,Rainfed,Groundwater,9.57,No,96.97,South,Medium
288824,Silt,7.49,61.79,0.64,1.33,14.44,29.78,613.38,10.56,5.75,Wheat,Flowering,Zaid,Rainfed,Groundwater,4.92,No,105.67,West,Low
32842,Silt,7.77,38.06,1.36,0.37,28.54,66.35,1551.85,10.42,17.4,Rice,Flowering,Zaid,Drip,Rainwater,10.08,Yes,89.82,East,Low
355440,Clay,5.5,55.23,0.44,2.11,39.31,79.09,1488.15,4.74,3.84,Wheat,Sowing,Kharif,Drip,Reservoir,8.9,Yes,31.43,North,Low
292820,Clay,5.72,44.0,1.17,2.38,27.17,92.41,1566.54,7.49,6.57,Maize,Sowing,Rabi,Drip,Reservoir,7.96,No,15.69,North,Low
503777,Loamy,7.96,61.42,1.58,1.86,13.4,26.08,982.39,8.13,13.23,Potato,Sowing,Kharif,Drip,Groundwater,2.95,No,33.61,East,Low
279454,Clay,6.41,13.43,0.72,1.52,14.02,72.88,1604.51,9.02,12.94,Wheat,Vegetative,Zaid,Canal,Groundwater,11.58,No,61.11,North,Medium
231516,Clay,5.73,10.04,0.42,2.09,29.08,25.99,1639.81,9.76,11.32,Rice,Flowering,Rabi,Sprinkler,Reservoir,6.74,Yes,15.49,South,Medium
329008,Sandy,6.36,21.82,0.84,1.41,37.24,73.46,1495.98,10.67,2.36,Rice,Sowing,Zaid,Rainfed,Groundwater,13.31,No,54.42,East,Medium
189593,Loamy,5.43,9.0,0.33,0.25,25.03,25.9,2335.75,7.95,1.25,Maize,Flowering,Kharif,Canal,Reservoir,10.5,No,53.76,Central,Medium
156152,Silt,6.65,36.73,1.09,1.51,18.58,65.56,2033.48,5.74,9.38,Sugarcane,Harvest,Rabi,Sprinkler,River,1.8,Yes,15.19,Central,Low
538085,Loamy,5.48,11.54,0.97,2.14,38.97,28.39,1038.5,6.5,15.88,Potato,Sowing,Kharif,Rainfed,Groundwater,8.32,No,53.71,East,Medium
23119,Clay,7.63,32.47,0.64,1.62,18.87,76.71,2076.0,10.03,15.16,Maize,Sowing,Rabi,Sprinkler,Reservoir,12.0,No,28.86,South,Low
355535,Sandy,6.47,43.8,0.72,3.33,37.08,87.58,708.34,5.39,1.81,Wheat,Flowering,Zaid,Sprinkler,Reservoir,3.8,Yes,40.37,North,Low
143491,Loamy,7.21,11.54,0.38,1.05,41.36,25.42,2164.04,10.23,16.27,Cotton,Harvest,Rabi,Drip,Groundwater,5.41,No,63.73,West,Medium
174058,Sandy,6.01,62.95,0.61,1.69,14.72,89.07,1418.54,8.34,2.93,Sugarcane,Sowing,Rabi,Drip,Groundwater,4.95,No,73.49,Central,Low
624450,Silt,6.47,64.93,0.42,2.54,38.96,79.47,1842.2,8.94,11.1,Wheat,Vegetative,Zaid,Drip,Rainwater,3.71,No,89.85,North,Medium
237470,Loamy,5.23,33.88,1.33,2.36,40.11,58.82,2355.49,9.94,9.87,Maize,Flowering,Zaid,Sprinkler,Rainwater,2.62,Yes,57.01,South,Low
211694,Silt,7.82,12.26,0.67,0.26,32.67,37.5,1842.26,8.8,2.03,Wheat,Sowing,Rabi,Canal,River,4.17,No,18.22,South,Medium
517685,Clay,6.74,24.98,1.13,2.61,40.25,35.48,1883.88,10.03,16.51,Cotton,Harvest,Rabi,Rainfed,Rainwater,1.93,No,68.66,West,Medium
225094,Clay,5.84,53.36,0.63,1.48,24.23,53.93,153.63,8.94,19.65,Sugarcane,Flowering,Zaid,Rainfed,Rainwater,14.79,Yes,23.78,East,Medium
448531,Sandy,5.24,32.43,0.32,2.37,16.65,32.03,514.9,5.44,5.48,Maize,Vegetative,Kharif,Sprinkler,Rainwater,1.06,Yes,46.76,Central,Low
350965,Sandy,7.58,50.52,1.37,0.11,33.83,43.86,2086.06,9.97,14.53,Rice,Flowering,Zaid,Rainfed,River,14.09,No,86.51,Central,Medium
174640,Silt,6.25,47.32,0.55,0.14,26.88,75.28,438.95,10.88,14.17,Maize,Flowering,Rabi,Sprinkler,Groundwater,9.07,No,29.09,West,Medium
595724,Sandy,7.73,35.45,0.44,2.24,20.76,43.35,1746.67,6.55,12.87,Rice,Sowing,Kharif,Canal,Reservoir,0.87,Yes,25.66,West,Low
173623,Sandy,7.72,21.11,0.35,0.43,39.97,54.68,1694.0,5.67,16.17,Wheat,Flowering,Rabi,Canal,Reservoir,14.94,No,76.24,East,High
112564,Sandy,7.82,48.87,0.62,1.24,31.12,61.3,1323.44,7.92,12.62,Potato,Vegetative,Rabi,Sprinkler,River,7.87,No,54.66,Central,Medium
51591,Clay,8.16,23.2,0.49,1.66,25.03,46.43,2263.03,6.54,2.33,Rice,Flowering,Zaid,Canal,Reservoir,11.24,Yes,84.51,South,Medium
448306,Clay,5.23,41.79,1.05,2.41,34.21,54.17,1651.56,5.43,10.37,Wheat,Harvest,Rabi,Canal,Rainwater,5.39,Yes,31.08,North,Low
385701,Loamy,7.43,23.1,0.73,0.26,19.48,57.79,939.13,7.77,18.62,Maize,Vegetative,Rabi,Rainfed,Reservoir,9.24,No,109.49,North,Medium
153847,Clay,5.14,42.74,0.61,1.09,31.47,31.19,1540.52,9.53,4.66,Sugarcane,Harvest,Zaid,Sprinkler,River,0.44,No,118.17,Central,Low
217115,Clay,6.25,12.64,0.46,3.16,32.67,29.81,1134.82,8.16,4.32,Rice,Flowering,Zaid,Rainfed,Reservoir,9.04,No,49.09,East,Medium
523986,Clay,7.4,28.67,1.42,2.26,29.14,73.53,2275.96,5.19,17.16,Maize,Vegetative,Kharif,Drip,Reservoir,10.07,No,49.93,North,Medium
386774,Sandy,7.85,10.65,0.8,0.76,13.01,91.22,1134.82,10.49,5.62,Rice,Vegetative,Kharif,Sprinkler,River,2.04,No,6.87,East,Medium
93235,Silt,7.64,11.92,0.93,1.71,37.08,73.94,916.19,6.42,6.19,Potato,Flowering,Rabi,Rainfed,River,5.66,Yes,27.68,West,Medium
624652,Sandy,7.73,21.93,0.56,0.72,30.14,87.73,1762.82,7.54,1.08,Cotton,Vegetative,Rabi,Canal,Groundwater,3.16,No,117.74,South,Medium
483756,Sandy,5.94,25.22,0.61,2.69,13.58,37.5,2201.44,4.84,16.43,Potato,Sowing,Zaid,Sprinkler,River,12.26,Yes,81.33,West,Low
150383,Silt,6.04,26.71,1.04,0.4,26.71,87.73,2340.39,6.34,17.03,Potato,Flowering,Kharif,Drip,Rainwater,14.74,No,7.16,Central,Medium
514679,Sandy,8.03,38.52,0.54,0.2,32.49,86.1,1747.0,10.03,0.98,Sugarcane,Vegetative,Rabi,Drip,Rainwater,4.68,No,101.42,East,Medium
129759,Clay,7.94,12.64,1.26,2.03,34.74,75.44,2294.69,5.67,19.62,Rice,Flowering,Zaid,Rainfed,Rainwater,1.23,No,109.22,North,High
434945,Loamy,6.25,21.88,1.18,2.93,35.17,39.15,1721.69,8.99,19.45,Maize,Vegetative,Rabi,Canal,Reservoir,0.55,Yes,70.07,South,Medium
350805,Sandy,7.09,39.73,0.39,2.95,29.31,37.05,2206.01,6.75,5.55,Sugarcane,Flowering,Kharif,Rainfed,Reservoir,9.48,No,30.37,Central,Low
384348,Clay,6.07,37.13,0.4,0.95,15.62,46.44,656.14,6.98,4.96,Maize,Sowing,Zaid,Canal,River,0.67,Yes,116.73,North,Low
178409,Loamy,5.66,18.63,1.34,1.69,39.85,44.45,916.8,9.94,6.78,Sugarcane,Harvest,Kharif,Canal,River,13.7,Yes,109.16,South,Low
24172,Loamy,7.84,12.14,0.8,2.19,32.48,48.23,2466.81,5.46,7.15,Rice,Vegetative,Rabi,Rainfed,Reservoir,5.31,Yes,48.83,South,Medium
11465,Clay,7.08,18.56,0.46,0.88,21.51,49.19,778.07,8.35,0.51,Potato,Flowering,Zaid,Drip,Rainwater,3.51,Yes,21.45,West,Medium
135721,Silt,6.48,50.81,0.96,2.05,22.51,86.28,952.93,4.57,2.59,Rice,Sowing,Kharif,Sprinkler,Reservoir,11.22,Yes,106.21,South,Low
529464,Silt,5.1,48.69,1.05,2.61,22.36,76.82,1183.59,9.42,10.5,Sugarcane,Sowing,Kharif,Drip,Rainwater,1.0,No,81.61,West,Low
29598,Loamy,7.73,39.36,1.05,1.08,17.7,56.47,2062.17,10.49,18.0,Sugarcane,Harvest,Zaid,Sprinkler,Reservoir,4.2,Yes,68.1,Central,Low
359720,Clay,5.77,35.95,1.38,2.77,12.14,52.16,541.2,5.67,19.1,Wheat,Sowing,Rabi,Sprinkler,Rainwater,2.88,Yes,113.22,Central,Low
